,location
18,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/114.tiff
19,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/115.tiff
20,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/116.tiff
21,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/117.tiff
22,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/118.tiff
23,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/119.tiff
24,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/12.tiff
25,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/120.tiff
26,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/121.tiff
27,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/122.tiff
28,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/123.tiff
29,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/124.tiff
30,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/125.tiff
31,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/126.tiff
32,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/127.tiff
33,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/128.tiff
34,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/129.tiff
35,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/13.tiff
36,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/130.tiff
37,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/131.tiff
38,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/132.tiff
39,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/133.tiff
40,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/134.tiff
41,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/135.tiff
42,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/136.tiff
43,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/137.tiff
44,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/138.tiff
45,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/139.tiff
46,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/14.tiff
47,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/140.tiff
48,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/141.tiff
49,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/142.tiff
50,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/143.tiff
51,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/144.tiff
52,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/145.tiff
53,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/146.tiff
54,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/147.tiff
55,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/148.tiff
56,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/149.tiff
57,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/15.tiff
58,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/150.tiff
59,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/151.tiff
60,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/152.tiff
61,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/153.tiff
62,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/154.tiff
63,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/155.tiff
64,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/156.tiff
65,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/157.tiff
66,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/158.tiff
67,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/159.tiff
68,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/16.tiff
69,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/160.tiff
70,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/161.tiff
71,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/162.tiff
72,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/163.tiff
73,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/164.tiff
74,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/165.tiff
75,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/166.tiff
76,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/167.tiff
77,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/168.tiff
78,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/169.tiff
79,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/17.tiff
80,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/170.tiff
81,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/171.tiff
82,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/172.tiff
83,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/173.tiff
84,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/174.tiff
85,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/175.tiff
86,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/176.tiff
87,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/177.tiff
88,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/178.tiff
89,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/179.tiff
90,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/18.tiff
91,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/180.tiff
92,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/181.tiff
93,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/182.tiff
94,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/183.tiff
95,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/184.tiff
96,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/185.tiff
97,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/186.tiff
98,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/187.tiff
99,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/188.tiff
100,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/189.tiff
101,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/19.tiff
102,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/190.tiff
103,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/191.tiff
104,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/192.tiff
105,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/193.tiff
106,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/194.tiff
107,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/195.tiff
108,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/196.tiff
109,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/197.tiff
110,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/198.tiff
111,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/199.tiff
112,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/2.tiff
113,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/20.tiff
114,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/200.tiff
115,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/201.tiff
116,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/202.tiff
117,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/203.tiff
118,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/204.tiff
119,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/205.tiff
120,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/206.tiff
121,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/207.tiff
122,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/208.tiff
123,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/209.tiff
124,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/21.tiff
125,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/210.tiff
126,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/211.tiff
127,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/212.tiff
128,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/213.tiff
129,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/214.tiff
130,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/215.tiff
131,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/216.tiff
132,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/217.tiff
133,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/218.tiff
134,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/219.tiff
135,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/22.tiff
136,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/220.tiff
137,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/221.tiff
138,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/222.tiff
139,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/223.tiff
140,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/224.tiff
141,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/225.tiff
142,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/226.tiff
143,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/227.tiff
144,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/228.tiff
145,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/229.tiff
146,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/23.tiff
147,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/230.tiff
148,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/231.tiff
149,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/232.tiff
150,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/233.tiff
151,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/234.tiff
152,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/235.tiff
153,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/236.tiff
154,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/237.tiff
155,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/238.tiff
156,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/239.tiff
157,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/24.tiff
158,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/240.tiff
159,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/241.tiff
160,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/242.tiff
161,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/243.tiff
162,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/244.tiff
163,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/245.tiff
164,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/246.tiff
165,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/247.tiff
166,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/248.tiff
167,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/249.tiff
168,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/25.tiff
169,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/250.tiff
170,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/251.tiff
171,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/252.tiff
172,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/253.tiff
173,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/254.tiff
174,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/255.tiff
175,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/256.tiff
176,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/257.tiff
177,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/258.tiff
178,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/259.tiff
179,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/26.tiff
180,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/260.tiff
181,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/261.tiff
182,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/262.tiff
183,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/263.tiff
184,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/264.tiff
185,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/265.tiff
186,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/266.tiff
187,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/267.tiff
188,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/268.tiff
189,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/269.tiff
190,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/27.tiff
191,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/270.tiff
192,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/271.tiff
193,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/272.tiff
194,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/273.tiff
195,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/274.tiff
196,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/275.tiff
197,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/276.tiff
198,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/277.tiff
199,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/278.tiff
200,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/279.tiff
201,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/28.tiff
202,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/280.tiff
203,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/281.tiff
204,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/282.tiff
205,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/283.tiff
206,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/284.tiff
207,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/285.tiff
208,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/286.tiff
209,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/287.tiff
210,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/288.tiff
211,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/289.tiff
212,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/29.tiff
213,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/290.tiff
214,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/291.tiff
215,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/292.tiff
216,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/293.tiff
217,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/294.tiff
218,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/295.tiff
219,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/296.tiff
220,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/297.tiff
221,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/298.tiff
222,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/299.tiff
223,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/3.tiff
224,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/30.tiff
225,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/300.tiff
226,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/301.tiff
227,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/31.tiff
228,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/32.tiff
229,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/33.tiff
230,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/34.tiff
231,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/35.tiff
232,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/36.tiff
233,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/37.tiff
234,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/38.tiff
235,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/39.tiff
236,fullsampledata/subset0mask/1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260/4.tiff
